Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Feb 11, 2026","Feb 17, 2026",princess lacing cards,USD,princess lacing - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,700,13,$0.81,$10.56,$39.96,26.4264%,3.78,2,2
"Feb 11, 2026","Feb 17, 2026",princess lacing cards,USD,princess lacing - SPM MP product targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,823,57,$1.60,$91.26,$99.90,91.3514%,1.09,4,5
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,2531,11,$0.68,$7.48,$19.98,37.4374%,2.67,1,1
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,Amazon,United States,Dynamic bids - down only,Off Amazon,7,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,351,3,$0.67,$2.02,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,524,27,$1.27,$34.32,$79.92,42.9429%,2.33,4,4
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,4549,29,$0.60,$17.50,$79.92,21.8969%,4.57,4,4
"Feb 12, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,Amazon,United States,Dynamic bids - down only,Off Amazon,4,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,693,4,$0.60,$2.40,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad 2,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,2064,184,$1.23,$225.59,$421.58,53.5106%,1.87,18,21
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,8500,39,$0.53,$20.63,$32.98,62.5531%,1.60,1,1
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,Amazon,United States,Dynamic bids - down only,Off Amazon,6478,17,$0.12,$2.07,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,8419,27,$0.51,$13.85,$32.98,41.9951%,2.38,1,1
"Feb 11, 2026","Feb 17, 2026",fuse beads,USD,48 Minibeads - broad auto,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1801,83,$0.86,$71.48,$100.94,70.8143%,1.41,3,3
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross girl - auto,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross girl - auto,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,2,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross girl - auto,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1294,82,$1.06,$87.14,$199.80,43.6136%,2.29,9,10
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,5814,29,$0.61,$17.77,$21.98,80.8462%,1.24,1,1
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Off Amazon,36,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1726,16,$0.61,$9.75,$26.98,36.1379%,2.77,1,1
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,113,4,$0.75,$3.00,$26.98,11.1193%,8.99,1,1
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,20,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,148,6,$0.32,$1.92,$24.98,7.6861%,13.01,1,1
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,13,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1041,5,$0.32,$1.62,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,Amazon,United States,Dynamic bids - down only,Off Amazon,114,1,$0.16,$0.16,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,815,9,$0.36,$3.20,$41.96,7.6263%,13.11,2,2
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,325,17,$0.82,$13.90,$39.96,34.7848%,2.87,2,2
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,242,1,$0.39,$0.39,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,38,0,,$0.00,$0.00,,,0,0
"Feb 13, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,6,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1780,8,$0.47,$3.77,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,172,1,$0.61,$0.61,$26.98,2.2609%,44.23,1,1
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,171,22,$1.12,$24.69,$26.98,91.5122%,1.09,1,1
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO Low bid,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 12, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO Low bid,Amazon,United States,Dynamic bids - down only,Off Amazon,3,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO Low bid,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,7,0,,$0.00,$0.00,,,0,0
"Feb 12, 2026","Feb 12, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO Low bid,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 13, 2026","Feb 13, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 13, 2026","Feb 16, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,2,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,10,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID product target,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,61,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 16, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID product target,Amazon,United States,Dynamic bids - down only,Off Amazon,16,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID product target,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,78,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 16, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl LOW BID manual targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl LOW BID manual targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,45,0,,$0.00,$0.00,,,0,0
"Feb 17, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl LOW BID manual targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,1,$0.08,$0.08,$0.00,,0.00,0,0
"Feb 12, 2026","Feb 16, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID product targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 11, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID product targeting,Amazon,United States,Dynamic bids - down only,Off Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID product targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,179,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 15, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID product targeting,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID Manual Research,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,3,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID Manual Research,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,230,1,$0.08,$0.08,$0.00,,0.00,0,0
"Feb 17, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID Manual Research,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID AUTO LOW BID,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,102,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID AUTO LOW BID,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,21,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Stitch Dictionary All,USD,Stitch Dictionary CAT LOW BID Manual Targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,43,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Stitch Dictionary All,USD,Stitch Dictionary CAT LOW BID Manual Targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,42,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID MANUAL TARGETING,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,121,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID MANUAL TARGETING,Amazon,United States,Dynamic bids - down only,Off Amazon,105,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID MANUAL TARGETING,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,198,0,,$0.00,$0.00,,,0,0
"Feb 15, 2026","Feb 15, 2026",fairy family,USD,B0BNDVTTSH Ballerina LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 14, 2026","Feb 14, 2026",fairy family,USD,B0BNDVTTSH Ballerina LOW BID AUTO Low bid,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 13, 2026","Feb 13, 2026",fairy family,USD,B0BNDVTTSH Ballerina LOW BID AUTO Low bid,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO low bid,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,49,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 11, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO low bid,Amazon,United States,Dynamic bids - down only,Off Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO low bid,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,247,1,$0.05,$0.05,$0.00,,0.00,0,0
"Feb 13, 2026","Feb 16, 2026",Embroidery for kids,USD,B09X55KL2C 10 embroidery LOW BID AUTO low bid,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,4,1,$0.20,$0.20,$0.00,,0.00,0,0
"Feb 13, 2026","Feb 14, 2026",Stitch Dictionary All,USD,Stitch Dictionary Elephant LOW BID AUTO LOW BID,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 17, 2026","Feb 17, 2026",Stitch Dictionary All,USD,Stitch Dictionary Heart LOW BID Product Targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,1,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",Stitch Dictionary All,USD,Stitch Dictionary LOW BID Manual Targeting,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,6,0,,$0.00,$0.00,,,0,0
"Feb 17, 2026","Feb 17, 2026",Stitch Dictionary All,USD,Stitch Dictionary LOW BID Manual Targeting,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,2,0,,$0.00,$0.00,,,0,0
"Feb 13, 2026","Feb 14, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 12, 2026","Feb 16, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,3,0,,$0.00,$0.00,,,0,0
"Feb 16, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl  LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,2,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1 | SPM | CAT | Embroidery Kits,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,307,2,$0.21,$0.42,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1 | SPM | CAT | Embroidery Kits,Amazon,United States,Dynamic bids - down only,Off Amazon,57,1,$0.07,$0.07,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1 | SPM | CAT | Embroidery Kits,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,510,4,$0.24,$0.96,$0.00,,0.00,0,0
"Feb 11, 2026","Feb 17, 2026",4 Flowers embroidery,USD,SO | Embroidery Kit | B0BWSGRTB1 | SPM | CAT | Embroidery Kits,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,22,0,,$0.00,$0.00,,,0,0
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,41153,241,$0.42,$100.44,$458.50,21.9062%,4.56,19,20
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,Amazon,United States,Dynamic bids - down only,Off Amazon,10046,30,$0.14,$4.18,$26.98,15.4930%,6.45,1,1
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,Amazon,United States,Dynamic bids - down only,Rest of search on Amazon,29643,301,$0.36,$109.24,$504.16,21.6677%,4.62,22,22
"Feb 11, 2026","Feb 17, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,6212,228,$0.61,$138.25,$510.50,27.0813%,3.69,23,25
"Feb 16, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Product pages on Amazon,0,0,,$0.00,$0.00,,,0,0
"Feb 15, 2026","Feb 15, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID AUTO TOS,Amazon,United States,Dynamic bids - down only,Top of Search on Amazon,1,0,,$0.00,$0.00,,,0,0
