Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search Impression Share,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales ,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,United States,Ad Group BROAD Match,Amazon,kids needlepoint,BROAD,7,9.7200%,1,14.2857%,$0.66,$0.66,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,United States,Ad Group BROAD Match,Amazon,embroidery for kids,BROAD,12,26.6700%,1,8.3333%,$0.84,$0.84,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,United States,Ad Group BROAD Match,Amazon,beginner cross stitch,BROAD,3328,0.8100%,37,1.1118%,$1.09,$40.42,40.4605%,2.47,$99.90,5,5,13.5135%,5,0,$99.90,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,United States,Ad Group BROAD Match,Amazon,embroidery kit for kids,BROAD,67,1.9900%,2,2.9851%,$0.95,$1.90,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross stitch girl broad,United States,Ad Group BROAD Match,Amazon,embroidery kits for kids,BROAD,1,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,B08DDJCQKF Cross girl - auto,United States,Cross girl - auto,Amazon,close-match,-,1296,1.9900%,82,6.3272%,$1.06,$87.14,43.6136%,2.29,$199.80,9,10,10.9756%,10,0,$199.80,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kits for beginners,EXACT,777,0.1900%,6,0.7722%,$0.47,$2.83,10.4893%,9.53,$26.98,1,1,16.6667%,0,1,$0.00,$26.98
"Feb 11, 2026","Feb 11, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch for kids,EXACT,1,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kit,EXACT,138,0.0400%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,United States,Latch Hook kits - SP - Auto Ad Group,Amazon,close-match,-,2187,0.1500%,30,1.3717%,$0.60,$18.10,22.0947%,4.53,$81.92,4,4,13.3333%,3,1,$59.94,$21.98
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,United States,Latch Hook kits - SP - Auto Ad Group,Amazon,complements,-,24,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Auto,United States,Latch Hook kits - SP - Auto Ad Group,Amazon,substitutes,-,103,0.2000%,2,1.9417%,$0.39,$0.78,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,latch hook kits for kids,EXACT,190,0.0000%,1,0.5263%,$0.39,$0.39,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,latch hook,EXACT,10,0.1500%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,hook rug kits for kids,EXACT,0,0.0000%,0,,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,latch hook pillow kits,EXACT,12,0.1900%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,latch hook rug kits for adults,EXACT,11,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,latch hook kits,EXACT,46,0.0500%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Exact,United States,Latch Hook kits - SP - Exact Ad Group,Amazon,sewing kit for kids,EXACT,17,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,United States,Latch Hook kits - SP - Product Target Ad Group,Amazon,"asin=""B06XRRN4VL""",-,125,0.1500%,4,3.2000%,$0.31,$1.24,4.9640%,20.15,$24.98,1,1,25.0000%,0,1,$0.00,$24.98
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,United States,Latch Hook kits - SP - Product Target Ad Group,Amazon,"asin=""B086XBRHK6""",-,42,0.2400%,2,4.7619%,$0.34,$0.68,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,United States,Latch Hook kits - SP - Product Target Ad Group,Amazon,"asin=""B07LC47M8F""",-,14,0.6900%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,United States,Latch Hook kits - SP - Product Target Ad Group,Amazon,"asin=""B09WJ4FLPG""",-,0,,0,,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",Latch hook kits,USD,Latch Hook kits - SP - Product Target,United States,Latch Hook kits - SP - Product Target Ad Group,Amazon,"asin=""B0BDGFPP9T""",-,0,,0,,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kids,EXACT,780,4.6800%,12,1.5385%,$0.70,$8.36,30.9859%,3.23,$26.98,1,1,8.3333%,0,1,$0.00,$26.98
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch for boys,EXACT,24,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,kids needlepoint,EXACT,5,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,beginner cross stitch kits,EXACT,446,0.0000%,2,0.4484%,$0.51,$1.01,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,stamped cross stitch kits for beginners,EXACT,1817,3.5800%,7,0.3853%,$0.59,$4.13,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kit for beginners,EXACT,113,0.3500%,3,2.6549%,$0.92,$2.76,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,kids embroidery kit,EXACT,8,9.5200%,1,12.5000%,$0.95,$0.95,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kit kids,EXACT,349,0.3900%,3,0.8596%,$0.53,$1.60,7.2793%,13.74,$21.98,1,1,33.3333%,0,1,$0.00,$21.98
"Feb 11, 2026","Feb 11, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kit for beginners kids,EXACT,2,6.6700%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kits for kids,EXACT,844,0.0000%,3,0.3555%,$0.24,$0.71,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,kids cross stitch kits ages 8-12,EXACT,26,9.0900%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,needle point kits adults,EXACT,8,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kit for kids ages 8-12,EXACT,260,29.2300%,3,1.1538%,$0.94,$2.82,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,kids embroidery kits age 5-8,EXACT,313,25.0000%,11,3.5144%,$1.12,$12.28,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,learn to embroidery kits for kids,EXACT,3,50.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 15, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kit for beginners adults,EXACT,1,1.5400%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,beginner embroidery kit kids,EXACT,339,21.7500%,8,2.3599%,$1.03,$8.20,15.1964%,6.58,$53.96,2,2,25.0000%,2,0,$53.96,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,kids cross stitch,EXACT,259,2.8300%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,beginner cross stitch kits for adults,EXACT,698,0.5300%,7,1.0029%,$0.73,$5.08,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,kids cross stitch kits,EXACT,1191,11.0400%,6,0.5038%,$0.67,$4.00,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,stamped cross stitch kits for kids,EXACT,188,9.8000%,1,0.5319%,$0.76,$0.76,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,beginner cross stitch kits for kids,EXACT,181,2.2400%,2,1.1050%,$0.54,$1.07,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kits for beginners kids,EXACT,197,2.6700%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 16, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery starter kit for kids,EXACT,204,33.3300%,2,0.9804%,$0.68,$1.35,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,kid embroidery kit for beginners,EXACT,1,12.5000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch for kids ages 8-12 beginners,EXACT,1,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch for kids 4-8,EXACT,22,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kits cats,EXACT,181,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kit for kids ages 8-12 girls beginner,EXACT,31,28.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,beginner embroidery kit for adults cat,EXACT,2,,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",Embroidery for kids,USD,B09X55KL2C 10 Embroidery kit - SP - EXACT,United States,10 Embroidery kit - SP - EXACT Ad Group,Amazon,embroidery kit for kids ages 8-12 girls,EXACT,0,,0,,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch kits for adults beginner,EXACT,119,2.6000%,2,1.6807%,$0.66,$1.32,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,printed cross stitch kits for kids,EXACT,5,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,cross stitch,EXACT,186,0.0000%,1,0.5376%,$0.36,$0.36,,0.00,$0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,beginning cross stitch kits for kids,EXACT,15,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 17, 2026",Cross stitch backpack charms,USD,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact,United States,Dog & CAT & Safari animals Cross Stitch Kits - SP - Exact Ad Group,Amazon,kids cross stitch kits age 5-8,EXACT,103,0.0000%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 17, 2026",fairy family,USD,B09WQSBZY7 Fairy LOW BID AUTO TOS,United States,Fairy LOW BID AUTO TOS,Amazon,substitutes,-,1,33.3300%,0,0.0000%,$0.00,$0.00,,,$0.00,0,0,,0,0,$0.00,$0.00
