Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Retailer,Country,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Feb 11, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,loose-match,-,arts and crafts,20,2,10.0000%,$0.33,$0.66,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,close-match,-,arts and crafts for seniors with dementia,1,1,100.0000%,$0.35,$0.35,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,close-match,-,arts and crafts supplies for 8 year old girls,2,1,50.0000%,$0.29,$0.29,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.49 - Incrementum,Catch All - Auto - 0.49 - Incrementum,Amazon,United States,close-match,-,"arts, crafts & sewing",1,1,100.0000%,$0.33,$0.33,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,assorted felt craft dolls,5,2,40.0000%,$0.18,$0.36,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 12, 2026",fuse beads,USD,48 Minibeads - broad auto,Ad Group BROAD Match,Amazon,United States,perler,BROAD,assorted perler beads,6,1,16.6667%,$0.87,$0.87,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",fuse beads,USD,B07PXN4K8N 22000 beads LOW BID AUTO TOS,22000 beads LOW BID AUTO TOS,Amazon,United States,substitutes,-,assorted perler beads,1,1,100.0000%,$0.60,$0.60,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,substitutes,-,autumn nature cross stitch patterns,1,1,100.0000%,$0.07,$0.07,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,b00000iv3u,1,1,100.0000%,$0.39,$0.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b000gij4y4,12,1,8.3333%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",No Portfolio,USD,Biggie Auto,Biggie Auto,Amazon,United States,substitutes,-,b000i649j4,17,1,5.8824%,$0.65,$0.65,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",No Portfolio,USD,Biggie Auto,Biggie Auto,Amazon,United States,substitutes,-,b000mwqg3q,23,1,4.3478%,$0.65,$0.65,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,b0012gv1hm,6,1,16.6667%,$0.39,$0.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b001taka2s,11,1,9.0909%,$0.30,$0.30,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b0031lzzeq,7,2,28.5714%,$0.34,$0.68,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 15, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b0033a2gla,15,1,6.6667%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,b003lh16zw,16,2,12.5000%,$0.37,$0.73,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b003lh16zw,9,1,11.1111%,$0.23,$0.23,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b003no2g20,8,1,12.5000%,$0.08,$0.08,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,substitutes,-,b004hftp0a,1,1,100.0000%,$0.27,$0.27,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 12, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b004jifcxo,108,3,2.7778%,$0.23,$0.68,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 12, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,b004pdzk1c,1,1,100.0000%,$0.39,$0.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b005m4e3rk,2,1,50.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 12, 2026","Feb 12, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,b0090bzbsq,8,1,12.5000%,$0.39,$0.39,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b009uommwq,19,1,5.2632%,$0.31,$0.31,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,substitutes,-,b00ix7293s,2,1,50.0000%,$0.27,$0.27,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 13, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,substitutes,-,b00jyb7ecs,4,1,25.0000%,$0.23,$0.23,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b00jycpx7k,21,1,4.7619%,$0.34,$0.34,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b00kkv3u2o,7,1,14.2857%,$0.34,$0.34,$19.98,1.7017%,58.76,1,1,100.0000%,1,0,$19.98,$0.00
"Feb 14, 2026","Feb 14, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,substitutes,-,b00kkv44x8,4,1,25.0000%,$0.27,$0.27,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 16, 2026","Feb 16, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b00oy0ymhy,2,2,100.0000%,$0.34,$0.68,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 15, 2026",.Catch All Auto,USD,Catch All - Auto - 0.39 - Incrementum,Catch All - Auto - 0.39 - Incrementum,Amazon,United States,complements,-,b00vlnpsbq,89,5,5.6180%,$0.38,$1.88,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 17, 2026","Feb 17, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b00vlnpsbq,4,1,25.0000%,$0.30,$0.30,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 13, 2026",.Catch All Auto,USD,Catch All - Auto - 0.29 - Incrementum,Catch All - Auto - 0.29 - Incrementum,Amazon,United States,substitutes,-,b00vlnpsgg,98,3,3.0612%,$0.30,$0.89,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Feb 11, 2026","Feb 11, 2026",.Catch All Auto,USD,CATCH ALL NGO - OLD,CATCH ALL NGO,Amazon,United States,complements,-,b00vlnpsgg,2,1,50.0000%,$0.37,$0.37,$0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
