"Date","Marketplace","ASIN","SKU","Name","SalesOrganic","SalesPPC","SalesSponsoredProducts","SalesSponsoredDisplay","UnitsOrganic","UnitsPPC","UnitsSponsoredProducts","UnitsSponsoredDisplay","Refunds","PromoValue","SponsoredProducts","SponsoredDisplay","SponsoredВrands","SponsoredBrandsVideo","Google ads","Facebook ads","GiftWrap","Shipping","Refund Commission","Refund Principal","Refund Promotion","Refund RefundCommission","Refund RestockingDeductionPrincipal","Value of returned items","ProductCost Unsellable Refunds","Commission","COMPENSATED_CLAWBACK","FBADisposalFee","FBAInboundConvenienceFee","FBALongTermStorageFee","FBAPerUnitFulfillmentFee","(MCF)","FBAStorageFee","FREE_REPLACEMENT_REFUND_ITEMS","GlobalInboundTransportationFreight","MISSING_FROM_INBOUND","MISSING_FROM_INBOUND_CLAWBACK","REVERSAL_REIMBURSEMENT","STARStorageFee","WAREHOUSE_DAMAGE","WAREHOUSE_LOST","EstimatedPayout","ProductCost Sales","ProductCost Non-Amazon","ProductCost MultichannelCosts","ProductCost MissingFromInbound","ProductCost CostOfMissingReturns","VAT","GrossProfit","NetProfit","Margin","Real ACOS","Sessions","Unit Session Percentage","Ads spend","Sellable Returns %","ROI","Fulfillment Channel","Expenses"
"11/02/2026","Amazon.com","B0DC69M3YD","7B-EONH-U3A3","CRAFTILOO Embroidery Kit for Beginners Adults — 4 Floral Stamped Patterns, Learn 17 Stitches | Complete Needlepoint Kit with Hoop, Needles, Thread & Video Tutorial | Embroidery Kits for Adults Women","49.96","74.94","74.94","0.00","2","3","3","0","0","0.00","-46.31","0.00","0.00","-6.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.30","0.00","-18.75","0.00","0.00","0.00","0.00","-20.65","0.00","0.00","8.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","40.59","-31.50","0.00","0.00","0.00","0.00","0.00","15.39","15.39","12.32","42.60","117","4.27","-53.21","100.00","48.86","FBA","0.00"
"11/02/2026","Amazon.com","B09HVDYMDK","VQ-PY1H-RED1","Pre Printed Needlepoint Wallet Kit for Kids Embroidery Arts and Crafts Set Cross Stitch Sewing Kit (Mermaid)","35.96","35.96","35.96","0.00","2","2","2","0","0","0.00","-6.31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-10.80","0.00","0.00","0.00","0.00","-13.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","41.69","-12.00","0.00","0.00","0.00","0.00","0.00","29.69","29.69","41.28","8.77","27","14.81","-6.31","0.00","247.42","FBA","0.00"
"11/02/2026","Amazon.com","B0DKD2S3JT","JZ-ZGON-217O","CRAFTILOO Loom Knitting and Crochet kit for Kids Crochet kit for Beginners Knitting kit for Beginners Knitting Loom Learn to Crochet Kits for Adults Beginner","45.96","45.96","45.96","0.00","2","2","2","0","0","0.00","-5.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-13.80","0.00","0.00","0.00","0.00","-23.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.22","-24.00","0.00","0.00","0.00","0.00","0.00","25.22","25.22","27.44","5.68","48","8.33","-5.22","0.00","105.08","FBA","0.00"
"11/02/2026","Amazon.com","B0B18ZHYKR","V5-VHHP-2KSO","Safari Animals Cross Stitch Kits for Beginners. 5 Stamped Cross Stitch Kits for Kids.Needlepoint Kits for Beginners. Embroidery Kit for Kids. Crossstitch Kit for Beginners. Girls Cross Stitch kit","59.94","0.00","0.00","0.00","3","0","0","0","0","0.00","-0.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-9.00","0.00","0.00","0.00","0.00","-12.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","37.66","-13.80","0.00","0.00","0.00","0.00","0.00","23.86","23.86","39.81","1.13","30","10.00","-0.68","0.00","172.90","FBA","0.00"
"11/02/2026","Amazon.com","B0B18ZRRCQ","S4-XEVS-W1IV","CRAFTILOO Cats Cross Stitch Kits for Beginners. 5 Stamped Cross Stitch Kits for Kids.Needlepoint Kits for Beginners. Embroidery Kit for Kids. Girls Cross Stitch kit (Cats)","80.94","0.00","0.00","0.00","3","0","0","0","0","0.00","-6.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-12.15","0.00","0.00","0.00","0.00","-12.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.72","-13.80","0.00","0.00","0.00","0.00","0.00","35.92","35.92","44.38","7.99","50","6.00","-6.47","0.00","260.29","FBA","0.00"
"11/02/2026","Amazon.com","B08L8BHD4Z","U9-D41T-LM8J","5 Stamped Superhero Cross Stitch Beginner Projects for Kids Needlepoint Starter kit Sewing Set for Backpack Charms…","21.98","43.96","43.96","0.00","1","2","2","0","0","0.00","-6.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-9.90","0.00","0.00","0.00","0.00","-12.60","0.00","0.00","0.00","0.00","61.32","0.00","0.00","0.00","0.00","0.00","98.11","-12.00","0.00","0.00","-48.00","0.00","0.00","38.11","38.11","57.79","10.08","52","5.77","-6.65","0.00","63.52","FBA","0.00"
"11/02/2026","Amazon.com","B0CDH84QDP","YG-V1A9-1R8J","CRAFTILOO 8 Pre-Cut Dogs Stuffed Animal Fun Kids Sewing Kit for Kids Ages 8-12 Children Beginners Sewing kit Kid Puppy Crafts Felt Pillow Plush Craft Kit Girls and Boys","80.94","0.00","0.00","0.00","3","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-12.15","0.00","0.00","0.00","0.00","-16.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.08","-12.00","0.00","0.00","0.00","0.00","0.00","40.08","40.08","49.52","0.00","29","10.34","0.00","0.00","334.00","FBA","0.00"
"11/02/2026","Amazon.com","B0CRZ8M2G1","GP-OSR2-H0XR","shinshin creation 24,000 Mini 2.6mm Fuse Beads Kit for Adults - 48 Vivid Pastel Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty Beads, Iron Beads Craft - Bulk Storage","104.94","0.00","0.00","0.00","3","0","0","0","0","0.00","-0.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-15.75","0.00","0.00","0.00","0.00","-17.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","71.16","-27.00","0.00","0.00","0.00","0.00","0.00","44.16","44.16","42.08","0.54","52","5.77","-0.57","0.00","163.56","FBA","0.00"
"11/02/2026","Amazon.com","B09HVCCNM2","KL-L7KN-R85L","CRAFTILOO Needlepoint Kit for Kids — Beginner Cross Stitch Sewing Kit with Pre Printed Canvas, Easy Embroidery Arts and Crafts Starter Set for Girls and Boys Ages 6-12 (Unicorn)","17.98","35.96","35.96","0.00","1","2","2","0","0","0.00","-10.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-8.10","0.00","0.00","0.00","0.00","-11.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.01","-9.00","0.00","0.00","0.00","0.00","0.00","15.01","15.01","27.83","19.73","29","10.34","-10.64","0.00","166.78","FBA","0.00"
"11/02/2026","Amazon.com","B08DJYBH4D","6B-PLIR-RTAZ","5 Stamped Embroidery kit With Embroidery Patterns. Embroidery Kit For Beginners, Needlepoint Kits For Beginners. Best Beginner Embroidery Kit For Kids Embroidery Starter Kit Cross Stitch Kits","39.96","0.00","0.00","0.00","2","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.00","0.00","0.00","0.00","0.00","-8.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.70","-9.00","0.00","0.00","0.00","0.00","0.00","16.70","16.70","41.79","0.00","31","6.45","0.00","0.00","185.56","FBA","0.00"
"11/02/2026","Amazon.com","B096MYBLS1","JI-I7Y7-VC9R","12 Pre-Cut Mini Treats Dessert Fun Kids Sewing Kit for Kids Ages 8-12 Children Beginners Sewing kit Kid Crafts Make Your Own Felt Pillow Plush Craft Kit Girls and Boys Art Craft Kits Learn to Sew Kit","22.98","22.98","22.98","0.00","1","1","1","0","0","0.00","-19.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.90","0.00","0.00","0.00","0.00","-10.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.57","-9.00","0.00","0.00","0.00","0.00","0.00","0.57","0.57","1.24","42.23","45","4.44","-19.41","0.00","6.33","FBA","0.00"
"11/02/2026","Amazon.com","B07D6D95NG","O9-70DP-C5J6","shinshin creation Fuse Beads Kit for Kids - 1500 Large 10mm Melty Iron Beads with Pegboards, 48 Patterns - Arts and Crafts for Boys and Girls Ages 4-7","0.00","49.96","49.96","0.00","0","2","2","0","2","0.00","-20.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.50","-49.96","0.00","-1.50","0.00","8.00","0.00","-7.50","0.00","0.00","0.00","0.00","-11.14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-33.30","-16.00","0.00","0.00","0.00","0.00","0.00","-41.30","-41.30","-82.67","41.35","39","5.13","-20.66","100.00","-258.13","FBA","0.00"
"11/02/2026","Amazon.com","B0F6YTG1CH","75-24RO-YAXR","CRAFTILOO Cross Stitch Kit for Kids Ages 6-12 – Easy Beginner Embroidery Needlepoint Set for Girls & Boys – Pre-Cut Felt Unicorn Designs with Thread, Needles & Keyrings – 4 Fun Projects","0.00","39.96","39.96","0.00","0","2","2","0","0","0.00","-22.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.00","0.00","0.00","0.00","0.00","-7.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.20","-4.00","0.00","0.00","0.00","0.00","0.00","-0.80","-0.80","-2.00","57.21","47","4.26","-22.86","0.00","-20.00","FBA","0.00"
"11/02/2026","Amazon.com","B0BP8GCK1G","KS-48AQ-488J","Fairy Elves Sewing Kit for Kids, Fun and Educational Fairytale Craft Set for Boys and Girls Age 7-12, Sew Your Own Felt Fairy Craft Kit for Beginners (Garden Rainbow Fairies Kit)","26.98","26.98","26.98","0.00","1","1","1","0","0","0.00","-1.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-8.10","0.00","0.00","0.00","0.00","-9.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.77","-6.40","0.00","0.00","0.00","0.00","0.00","28.37","28.37","52.58","3.50","51","3.92","-1.89","0.00","443.28","FBA","0.00"
"11/02/2026","Amazon.com.mx","B09WQSBZY7","DH-0K32-KCGU","Kits de costura de hadas para niñas pequeñas, 5 proyectos fáciles para niños, manualidades para hacer tu propia almohada de fieltro, kit de manualidades de peluche, mi primer kit de costura para","27.81","0.00","0.00","0.00","1","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.18","0.00","0.00","0.00","0.00","-9.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.92","-3.00","0.00","0.00","0.00","0.00","0.00","10.92","10.92","39.27","0.00","4","25.00","0.00","0.00","364.00","FBA","0.00"
"11/02/2026","Amazon.com","B0BNDVTTSH","4V-ROEZ-AH0J","CRAFTILOO Ballerina Dancers Sewing Kit for Kids, Fun and Educational Craft Set for Boys and Girls Age 5-12, Sew Your Own Felt Ballerina Craft Kit for Beginners","21.98","0.00","0.00","0.00","1","0","0","0","0","0.00","-5.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.30","0.00","0.00","0.00","0.00","-4.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.00","-3.20","0.00","0.00","0.00","0.00","0.00","5.80","5.80","26.39","23.11","42","2.38","-5.08","0.00","181.25","FBA","0.00"
"11/02/2026","Amazon.com","B07PXN4K8N","6C-ADBV-Q090","XXL Fuse Beads kit, Melty Melting Beads for Kids Crafts | Iron for Kids kit - Fuse pegboards. Compatible Bulk beados Storage - 22000pcs 5mm","34.96","0.00","0.00","0.00","1","0","0","0","0","0.00","-2.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-5.24","0.00","0.00","0.00","0.00","-7.69","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.16","-12.50","0.00","0.00","0.00","0.00","0.00","6.66","6.66","19.05","8.21","65","1.54","-2.87","0.00","53.28","FBA","0.00"
"11/02/2026","Amazon.com","B0BPDCDXNK","6T-IT6W-31EB","CRAFTILOO Embroidery Kit for Beginners Cross Stitch Kits for Beginners Needlepoint Kits for Adults Embroidery Kits for Adults Cross Stitch kit Embroidery kit Heart","0.00","22.98","22.98","0.00","0","1","1","0","0","0.00","-5.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.45","0.00","0.00","0.00","0.00","-4.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.90","-4.40","0.00","0.00","0.00","0.00","0.00","5.50","5.50","23.93","21.89","12","8.33","-5.03","0.00","125.00","FBA","0.00"
"11/02/2026","Amazon.com","B0B2XL9D8D","IV-Z101-Z258","CRAFTILOO Embroidery Kit for Beginners Cross Stitch Kits for Beginners Needlepoint Kits for Adults Embroidery Kits for Adults Cross Stitch kit Elephant","21.98","0.00","0.00","0.00","1","0","0","0","0","0.00","-0.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.30","0.00","0.00","0.00","0.00","-4.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.01","-4.40","0.00","0.00","0.00","0.00","0.00","9.61","9.61","43.72","2.14","22","4.55","-0.47","0.00","218.41","FBA","0.00"
"11/02/2026","Amazon.com","B0CT962TMN","H5-BY2V-OEVL","CRAFTILOO Embroidery Kits for Adults Hand Embroidery kit for Beginners with Stamped Embroidery Patterns Starter Embroidery Kit. Needlepoint kit Cross Stitch kit for Teens& Adults Butterflies","0.00","24.98","24.98","0.00","0","1","1","0","0","0.00","-2.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.75","0.00","0.00","0.00","0.00","-4.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.41","-5.50","0.00","0.00","0.00","0.00","0.00","8.91","8.91","35.67","8.89","23","4.35","-2.22","0.00","162.00","FBA","0.00"
"11/02/2026","Amazon.com","B0BWSGRTB1","IL-ASZW-OF77","CRAFTILOO Embroidery Kit for Beginners Cross Stitch Kits for Beginners Embroidery Kits for Adults Cross Stitch kit Beginner Embroidery kit for Adults Cat","27.98","0.00","0.00","0.00","1","0","0","0","0","0.00","-4.78","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.20","0.00","0.00","0.00","0.00","-4.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.40","-4.40","0.00","0.00","0.00","0.00","0.00","10.00","10.00","35.74","17.08","32","3.13","-4.78","0.00","227.27","FBA","0.00"
"11/02/2026","Amazon.com","B08DDJCQKF","B08DDJCQKF-FBA-2026","CRAFTILOO Cross Stitch Kit for Kids - 5 Easy Stamped Cross Stitch Kits for Beginners | Embroidery Kit for Girls Ages 7-13 | Needlepoint Craft Set, Backpack Charms & Keychains","19.98","0.00","0.00","0.00","1","0","0","0","0","0.00","0.00","0.00","0.00","-0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.00","0.00","0.00","0.00","0.00","-4.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.95","0.00","0.00","0.00","0.00","0.00","0.00","11.95","11.95","59.81","0.65","14","7.14","-0.13","0.00","0.00","FBA","0.00"
"11/02/2026","Amazon.ca","B092SW839H","B2-XPQK-NI8O","CRAFTILOO 3Pcs of Embroidery Punch Needle kit for Kids Mini Pillows Googly Heart Owl Rainbow Needlepoint Craft Embroidery Pen Needle Punch Kit Art Punch Needle Yarn","17.24","0.00","0.00","0.00","1","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2.58","0.00","0.00","0.00","0.00","-8.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.82","-4.50","0.00","0.00","0.00","0.00","0.00","1.32","1.32","7.66","0.00","1","100.00","0.00","0.00","29.33","FBA","0.00"
"11/02/2026","Amazon.com","B0BVHMZFSQ","F8-ODKX-DQWT","XL Fuse Beads kit, Melty Beads Melting for Kids Crafts | Iron for Kids kit - Fuse pegboards, pearler Hama Compatible - 11000pcs 5mm","34.98","0.00","0.00","0.00","1","0","0","0","0","0.00","-4.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-5.25","0.00","0.00","0.00","0.00","-6.67","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.90","-8.00","0.00","0.00","0.00","0.00","0.00","10.90","10.90","31.16","11.89","32","3.13","-4.16","0.00","136.25","FBA","0.00"
"11/02/2026","Amazon.com","B0C3YQ5RG1","2Z-YIR5-1UN8","Pirates Pre-Cut Fun Kids Sewing Kit for Kids Ages 8-12 Children Beginners Sewing kit Kid Crafts Make Your Own Felt Pillow Plush Craft Kit Girls and Boys Art Craft Kits Learn to Sew Kit","0.00","0.00","0.00","0.00","0","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7","0.00","0.00","0.00","0.00","FBA","0.00"
