"﻿""Date""",Marketplace,ASIN,SKU,Name,SalesOrganic,SalesPPC,SalesSponsoredProducts,SalesSponsoredDisplay,UnitsOrganic,UnitsPPC,UnitsSponsoredProducts,UnitsSponsoredDisplay,Refunds,PromoValue,SponsoredProducts,SponsoredDisplay,SponsoredВrands,SponsoredBrandsVideo,Google ads,Facebook ads,GiftWrap,Shipping,Refund Commission,Refund Principal,Refund Promotion,Refund RefundCommission,Refund RestockingDeductionPrincipal,Value of returned items,ProductCost Unsellable Refunds,Commission,COMPENSATED_CLAWBACK,FBADisposalFee,FBAInboundConvenienceFee,FBALongTermStorageFee,FBAPerUnitFulfillmentFee,(MCF),FBAStorageFee,FREE_REPLACEMENT_REFUND_ITEMS,GlobalInboundTransportationFreight,MISSING_FROM_INBOUND,MISSING_FROM_INBOUND_CLAWBACK,REVERSAL_REIMBURSEMENT,STARStorageFee,WAREHOUSE_DAMAGE,WAREHOUSE_LOST,EstimatedPayout,ProductCost Sales,ProductCost Non-Amazon,ProductCost MultichannelCosts,ProductCost MissingFromInbound,ProductCost CostOfMissingReturns,VAT,GrossProfit,NetProfit,Margin,Real ACOS,Sessions,Unit Session Percentage,Ads spend,Sellable Returns %,ROI,Fulfillment Channel,Expenses
05/02/2026,Amazon.com,B08DDJCQKF,B08DDJCQKF-FBA-2026,Cross Stitch Kits For Beginners. 5 Stamped Cross Stitch Kits for Kids.Needlepoint Kits For Beginners. Embroidery Kit For Kids. Crossstitch Kit For Beginners. Girls cross stitch kit Backpack Charms,118.68,0.00,0.00,0.00,6,0,0,0,0,0.00,0.00,0.00,0.00,-0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.82,0.00,0.00,0.00,0.00,-25.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.26,0.00,0.00,0.00,0.00,0.00,0.00,75.26,75.26,63.41,0.34,25,16.00,-0.40,0.00,0.00,FBA,0.00
05/02/2026,Amazon.com,B0FQC7YFX6,6P-KW6N-9F9J,"Princess Lacing Card Kit for Kids Arts & Crafts, 8 Easy Lacing Projects with Gem Stickers, Paper Art Craft Cards for Toddlers, Fine Motor Preschool Skills, Mess-Free Travel Activity",19.98,79.92,79.92,0.00,1,4,4,0,0,0.00,-53.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-15.00,0.00,0.00,0.00,0.00,-23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.15,-10.50,0.00,0.00,0.00,0.00,0.00,-2.35,-2.35,-2.35,53.80,44,11.36,-53.75,0.00,-22.38,FBA,0.00
05/02/2026,Amazon.com,B09HVDNFMR,N7-TUSA-2329,Pre Printed Needlepoint Wallet Kit for Kids Embroidery Arts and Crafts Set Cross Stitch Sewing Kit (Cat),17.98,71.92,71.92,0.00,1,4,4,0,0,0.00,-16.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.50,0.00,0.00,0.00,0.00,-18.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.48,-15.00,0.00,0.00,0.00,0.00,0.00,26.48,26.48,29.45,18.10,89,5.62,-16.27,0.00,176.53,FBA,0.00
05/02/2026,Amazon.com,B07D6D95NG,O9-70DP-C5J6,Fuse Beads kit of 1500 Large 10MM Melty Beads Perfect for Ages 4-7 with 48 Patterns and pegboard Arts and Crafts for Girls and Boys,24.98,99.92,99.92,0.00,1,4,4,0,0,0.00,-31.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.75,0.00,0.00,0.00,0.00,-27.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.44,-40.00,0.00,0.00,0.00,0.00,0.00,6.44,6.44,5.16,25.51,38,13.16,-31.86,0.00,16.10,FBA,0.00
05/02/2026,Amazon.com,B096MYBLS1,JI-I7Y7-VC9R,12 Pre-Cut Mini Treats Dessert Fun Kids Sewing Kit for Kids Ages 8-12 Children Beginners Sewing kit Kid Crafts Make Your Own Felt Pillow Plush Craft Kit Girls and Boys Art Craft Kits Learn to Sew Kit,114.90,0.00,0.00,0.00,5,0,0,0,0,0.00,-17.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.25,0.00,0.00,0.00,0.00,-25.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.62,-22.50,0.00,0.00,0.00,0.00,0.00,32.12,32.12,27.95,15.52,40,12.50,-17.83,0.00,142.76,FBA,0.00
05/02/2026,Amazon.com,B0FHMRQWRX,MW-AU5S-KO94,"CRAFTILOO Latch Hook Kit for Kids Rug DIY Pillow Craft with Hook, Precut Yarn, Easy to Follow Pattern Cute Designs with Wise Owl Ages 6+",99.92,0.00,0.00,0.00,4,0,0,0,0,0.00,-2.55,0.00,0.00,-1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-15.00,0.00,0.00,0.00,0.00,-22.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.45,-21.20,0.00,0.00,0.00,0.00,0.00,37.25,37.25,37.28,4.19,35,11.43,-4.19,0.00,175.71,FBA,0.00
05/02/2026,Amazon.com,B0BVHMZFSQ,F8-ODKX-DQWT,"XL Fuse Beads kit, Melty Beads Melting for Kids Crafts | Iron for Kids kit - Fuse pegboards, pearler Hama Compatible - 11000pcs 5mm",69.96,69.96,69.96,0.00,2,2,2,0,0,0.00,-59.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.00,0.00,0.00,0.00,0.00,-26.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.50,-32.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.36,42.70,73,5.48,-59.74,0.00,1.56,FBA,0.00
05/02/2026,Amazon.com,B0CRZ8M2G1,GP-OSR2-H0XR,"shinshin creation 24,000 Mini 2.6mm Fuse Beads Kit for Adults - 48 Vivid Pastel Colors, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty Beads, Iron Beads Craft - Bulk Storage",139.92,0.00,0.00,0.00,4,0,0,0,1,0.00,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.98,-34.98,1.75,-1.00,0.00,9.00,0.00,-21.00,0.00,0.00,0.00,0.00,-23.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.31,-36.00,0.00,0.00,0.00,0.00,0.00,39.31,39.31,28.09,0.06,55,7.27,-0.08,100.00,109.19,FBA,0.00
05/02/2026,Amazon.com,B092SW839H,B2-XPQK-NI8O,CRAFTILOO 3Pcs of Embroidery Punch Needle kit for Kids Mini Pillows Googly Heart Owl Rainbow Needlepoint Craft Embroidery Pen Needle Punch Kit Art Punch Needle Yarn,59.94,0.00,0.00,0.00,3,0,0,0,0,0.00,-5.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.00,0.00,0.00,0.00,0.00,-15.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.68,-13.50,0.00,0.00,0.00,0.00,0.00,17.18,17.18,28.66,8.58,26,11.54,-5.14,0.00,127.26,FBA,0.00
05/02/2026,Amazon.com,B0CKTS6ZFZ,Q3-59J7-8XP7,CRAFTILOO Embroidery Kits for Adults Hand Embroidery kit for Beginners with Stamped Embroidery Patterns Starter Embroidery Kit. Needlepoint kit Cross Stitch kit for Teens& Adults Flowers,50.94,0.00,0.00,0.00,3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.65,0.00,0.00,0.00,0.00,-13.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,-13.20,0.00,0.00,0.00,0.00,0.00,16.29,16.29,31.98,0.00,26,11.54,0.00,0.00,123.41,FBA,0.00
05/02/2026,Amazon.com,B0CDH84QDP,YG-V1A9-1R8J,CRAFTILOO 8 Pre-Cut Dogs Stuffed Animal Fun Kids Sewing Kit for Kids Ages 8-12 Children Beginners Sewing kit Kid Puppy Crafts Felt Pillow Plush Craft Kit Girls and Boys,72.84,0.00,0.00,0.00,3,0,0,0,0,0.00,-0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.92,0.00,0.00,0.00,0.00,-16.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.79,-12.00,0.00,0.00,0.00,0.00,0.00,32.79,32.79,45.02,0.58,57,5.26,-0.42,0.00,273.25,FBA,0.00
05/02/2026,Amazon.com,B0DKD2S3JT,JZ-ZGON-217O,CRAFTILOO Loom Knitting and Crochet kit for Kids Crochet kit for Beginners Knitting kit for Beginners Knitting Loom Learn to Crochet Kits for Adults Beginner,68.94,0.00,0.00,0.00,3,0,0,0,0,0.00,-8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,-10.35,0.00,0.00,0.00,0.00,-17.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.46,-18.00,0.00,0.00,0.00,0.00,0.00,20.46,20.46,29.68,12.14,41,7.32,-8.37,100.00,113.67,FBA,0.00
05/02/2026,Amazon.com,B0B18ZRRCQ,S4-XEVS-W1IV,CRAFTILOO Cats Cross Stitch Kits for Beginners. 5 Stamped Cross Stitch Kits for Kids.Needlepoint Kits for Beginners. Embroidery Kit for Kids. Girls Cross Stitch kit (Cats),53.96,26.98,26.98,0.00,2,1,1,0,0,0.00,-3.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.00,-12.15,0.00,0.00,0.00,0.00,-12.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.08,-13.80,0.00,0.00,0.00,0.00,0.00,43.88,43.88,54.21,3.84,45,6.67,-3.11,100.00,317.97,FBA,0.00
05/02/2026,Amazon.com,B0F6YTG1CH,75-24RO-YAXR,"CRAFTILOO Cross Stitch Kit for Kids Ages 6-12 – Easy Beginner Embroidery Needlepoint Set for Girls & Boys – Pre-Cut Felt Unicorn Designs with Thread, Needles & Keyrings – 4 Fun Projects",19.98,19.98,19.98,0.00,1,1,1,0,0,0.00,-34.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,-7.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.47,-4.00,0.00,0.00,0.00,0.00,0.00,-12.47,-12.47,-31.21,86.41,62,3.23,-34.53,0.00,-311.75,FBA,0.00
05/02/2026,Amazon.com,B0B8TFW4MN,7V-1G3Q-6PFU,Superhero Sewing Kits for Little Kids 5 Easy Projects for Children Beginners Sewing kit Kid Crafts Make Your Own Felt Pillow Plush Craft Kit My First Sewing Kit Learn to Sew Kit,43.16,0.00,0.00,0.00,2,0,0,0,0,0.00,-0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.48,0.00,0.00,0.00,0.00,-8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.31,-6.40,0.00,0.00,0.00,0.00,0.00,20.91,20.91,48.45,2.25,44,4.55,-0.97,0.00,326.72,FBA,0.00
05/02/2026,Amazon.com,B0F8QZZQQM,ZT-0RFZ-KY9Y,"CRAFTILOO 2 in1 Cross Stitch & Embroidery Kit for Kids Ages 6+ Make 8 Projects Backpack Charms, Keyring, Doll, Wall Art, Unicorn Pillow & Card Holder Beginner Needlepoint & Creative Gift Set",21.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-2.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.30,0.00,0.00,0.00,0.00,-5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,-5.50,0.00,0.00,0.00,0.00,0.00,4.80,4.80,21.84,13.47,20,5.00,-2.96,0.00,87.27,FBA,0.00
05/02/2026,Amazon.com,B0BNDVTTSH,4V-ROEZ-AH0J,"CRAFTILOO Ballerina Dancers Sewing Kit for Kids, Fun and Educational Craft Set for Boys and Girls Age 5-12, Sew Your Own Felt Ballerina Craft Kit for Beginners",17.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-14.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,-2.70,0.00,0.00,0.00,0.00,-4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.54,-3.20,0.00,0.00,0.00,0.00,0.00,-3.54,-3.54,-19.69,79.09,97,1.03,-14.22,100.00,-110.63,FBA,0.00
05/02/2026,Amazon.com,B09THLVFZK,amzn.gr.RV-FA22-4WFQ-5-FBTJ5uWhiOfFMm-LN,"24,000 Mini Fuse Beads Kit for Adults - 48 Colors Tiny 2.6mm Beads, 5 Pegboards, 2 Tweezers - Compatible with Hama, Melty, Iron Craft - Bulk Storage",26.38,0.00,0.00,0.00,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.96,0.00,0.00,0.00,0.00,-7.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.97,0.00,0.00,0.00,0.00,0.00,0.00,14.97,14.97,56.75,0.00,13,7.69,0.00,0.00,0.00,FBA,0.00
05/02/2026,Amazon.com,B0B2XL9D8D,IV-Z101-Z258,CRAFTILOO Embroidery Kit for Beginners Cross Stitch Kits for Beginners Needlepoint Kits for Adults Embroidery Kits for Adults Cross Stitch kit Elephant,21.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.30,0.00,0.00,0.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.67,-4.40,0.00,0.00,0.00,0.00,0.00,9.27,9.27,42.17,3.69,24,4.17,-0.81,0.00,210.68,FBA,0.00
05/02/2026,Amazon.com,B0CP2KCF9R,PC-75HN-F1GF,CRAFTILOO Embroidery Kits for Adults Hand Embroidery kit for Beginners with Stamped Embroidery Patterns Starter Embroidery Kit. Needlepoint kit Cross Stitch kit for Teens& Adults Cactus,24.98,0.00,0.00,0.00,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.75,0.00,0.00,0.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.03,-4.40,0.00,0.00,0.00,0.00,0.00,12.63,12.63,50.56,0.00,26,3.85,0.00,0.00,287.05,FBA,0.00
05/02/2026,Amazon.com,B07PXN4K8N,6C-ADBV-Q090,"XXL Fuse Beads kit, Melty Melting Beads for Kids Crafts | Iron for Kids kit - Fuse pegboards. Compatible Bulk beados Storage - 22000pcs 5mm",34.96,0.00,0.00,0.00,1,0,0,0,0,0.00,-3.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.24,0.00,0.00,0.00,0.00,-7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.84,-12.50,0.00,0.00,0.00,0.00,0.00,6.34,6.34,18.14,9.12,69,1.45,-3.19,0.00,50.72,FBA,0.00
05/02/2026,Amazon.com,B0BXHJJMX1,WS-RE3B-GDTO,CRAFTILOO DIY 2 Rug Pencil Cases Latch Hook Kits for Kids Sewing Set for Girls Beginners Latchkits Ages 8-12,24.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.75,0.00,0.00,0.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.77,-4.50,0.00,0.00,0.00,0.00,0.00,11.27,11.27,45.12,5.04,10,10.00,-1.26,0.00,250.44,FBA,0.00
05/02/2026,Amazon.com,B0CT962TMN,H5-BY2V-OEVL,CRAFTILOO Embroidery Kits for Adults Hand Embroidery kit for Beginners with Stamped Embroidery Patterns Starter Embroidery Kit. Needlepoint kit Cross Stitch kit for Teens& Adults Butterflies,24.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.75,0.00,0.00,0.00,0.00,-4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.95,-5.50,0.00,0.00,0.00,0.00,0.00,10.45,10.45,41.83,2.72,36,2.78,-0.68,0.00,190.00,FBA,0.00
05/02/2026,Amazon.com,B0C3YQ5RG1,2Z-YIR5-1UN8,Pirates Pre-Cut Fun Kids Sewing Kit for Kids Ages 8-12 Children Beginners Sewing kit Kid Crafts Make Your Own Felt Pillow Plush Craft Kit Girls and Boys Art Craft Kits Learn to Sew Kit,20.68,0.00,0.00,0.00,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.10,0.00,0.00,0.00,0.00,-5.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.01,-3.50,0.00,0.00,0.00,0.00,0.00,8.51,8.51,41.15,0.00,29,3.45,0.00,0.00,243.14,FBA,0.00
05/02/2026,Amazon.com,B0B18ZHYKR,V5-VHHP-2KSO,Safari Animals Cross Stitch Kits for Beginners. 5 Stamped Cross Stitch Kits for Kids.Needlepoint Kits for Beginners. Embroidery Kit for Kids. Crossstitch Kit for Beginners. Girls Cross Stitch kit,19.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,-4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.80,-4.60,0.00,0.00,0.00,0.00,0.00,7.20,7.20,36.04,4.90,41,2.44,-0.98,0.00,156.52,FBA,0.00
05/02/2026,Amazon.com,B0B3PGPVV5,W1-ASV2-SQO1,CRAFTILOO DIY Rug 3D Unicorn Pouch Latch Hook Kits for Kids Sewing Set for Girls Beginners Latchkits Ages 6-12,19.98,0.00,0.00,0.00,1,0,0,0,0,0.00,-3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,-3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.33,-3.50,0.00,0.00,0.00,0.00,0.00,5.83,5.83,29.18,18.52,11,9.09,-3.70,0.00,166.57,FBA,0.00
